2024-08-28 14:12:49,047 INFO    MainThread:12621 [wandb_setup.py:_flush():76] Current SDK version is 0.17.7
2024-08-28 14:12:49,048 INFO    MainThread:12621 [wandb_setup.py:_flush():76] Configure stats pid to 12621
2024-08-28 14:12:49,048 INFO    MainThread:12621 [wandb_setup.py:_flush():76] Loading settings from /Users/lizhiwei/.config/wandb/settings
2024-08-28 14:12:49,048 INFO    MainThread:12621 [wandb_setup.py:_flush():76] Loading settings from /Users/lizhiwei/Documents/code/cls/wandb/settings
2024-08-28 14:12:49,048 INFO    MainThread:12621 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-08-28 14:12:49,048 INFO    MainThread:12621 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-08-28 14:12:49,048 INFO    MainThread:12621 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'cls.py', 'program_abspath': '/Users/lizhiwei/Documents/code/cls/cls.py', 'program': '/Users/lizhiwei/Documents/code/cls/cls.py'}
2024-08-28 14:12:49,048 INFO    MainThread:12621 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-08-28 14:12:49,048 INFO    MainThread:12621 [wandb_init.py:_log_setup():524] Logging user logs to /Users/lizhiwei/Documents/code/cls/wandb/run-20240828_141249-jx4zklet/logs/debug.log
2024-08-28 14:12:49,048 INFO    MainThread:12621 [wandb_init.py:_log_setup():525] Logging internal logs to /Users/lizhiwei/Documents/code/cls/wandb/run-20240828_141249-jx4zklet/logs/debug-internal.log
2024-08-28 14:12:49,048 INFO    MainThread:12621 [wandb_init.py:init():607] calling init triggers
2024-08-28 14:12:49,048 INFO    MainThread:12621 [wandb_init.py:init():614] wandb.init called with sweep_config: {}
config: {}
2024-08-28 14:12:49,048 INFO    MainThread:12621 [wandb_init.py:init():657] starting backend
2024-08-28 14:12:49,049 INFO    MainThread:12621 [wandb_init.py:init():661] setting up manager
2024-08-28 14:12:49,055 INFO    MainThread:12621 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-08-28 14:12:49,059 INFO    MainThread:12621 [wandb_init.py:init():669] backend started and connected
2024-08-28 14:12:49,074 INFO    MainThread:12621 [wandb_init.py:init():764] updated telemetry
2024-08-28 14:12:49,075 INFO    MainThread:12621 [wandb_init.py:init():797] communicating run to backend with 90.0 second timeout
2024-08-28 14:12:50,446 INFO    MainThread:12621 [wandb_run.py:_on_init():2479] communicating current version
2024-08-28 14:12:52,241 INFO    MainThread:12621 [wandb_run.py:_on_init():2488] got version response 
2024-08-28 14:12:52,241 INFO    MainThread:12621 [wandb_init.py:init():848] starting run threads in backend
2024-08-28 14:12:55,235 INFO    MainThread:12621 [wandb_run.py:_console_start():2457] atexit reg
2024-08-28 14:12:55,235 INFO    MainThread:12621 [wandb_run.py:_redirect():2303] redirect: wrap_raw
2024-08-28 14:12:55,235 INFO    MainThread:12621 [wandb_run.py:_redirect():2368] Wrapping output streams.
2024-08-28 14:12:55,235 INFO    MainThread:12621 [wandb_run.py:_redirect():2393] Redirects installed.
2024-08-28 14:12:55,243 INFO    MainThread:12621 [wandb_init.py:init():891] run started, returning control to user process
2024-08-28 14:24:40,797 WARNING MsgRouterThr:12621 [router.py:message_loop():77] message_loop has been closed
